검색조건
대출기간,2022-01-01 ~ 2022-07-09
성별,전체
연령,20대, 30대
지역,전체
ISBN 부가기호,전체
주제,기술과학
세부주제,기술과학

제공기관 : 국립중앙도서관
데이터 제공일 : 2022-07-10
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"38","내가 자동차를 만든다면 ","크리스 반 두센 글·그림 ;유사랑 옮김","김영사","2018","1","9788934983507","74500","500","148",
"39","레벨업 카카오프렌즈 :발명과 발견 ","글: 빛나 ;그림: 최우빈","대원씨아이","2021","10","9791136266866","74030","507.5","146",
"40","내가 집을 짓는다면 ","크리스 반 두센 글·그림 ;유사랑 옮김","김영사","2018","2","9788934983491","74500","500","128",
"41","(똑똑한 500가지) 호기심 과학","앤 루니 글 ;정미현 옮김","북멘토","2021","","9788963194202","73500","507.5","120",
"42","물건 진화 그림 사전 ","글: 스테판카 세카니노바 ;옮김: 서지희","라이카미","2020","","9791190808101","73500","507.5","110",
"43","Why? 발명·발견 ","글·만화: 김민재","예림당","2011","16","9788930202459","74500","507","101",
"43","내가 자동차를 만든다면 ","크리스 반 두센 글·그림 ;유사랑 옮김","김영사","2018","","9788934983507","74500","500","101",
"45","방구석 박물관 :플라톤의 알람시계부터 나노 기술까지 고대인의 물건에 담긴 기발한 세계사 ","제임스 M. 러셀 지음 ;안희정 옮김","지학사","2019","","9791189799113","03900","509","100",
"46","(지구를 위한) 발명 이야기 ","캐서린 바,신동경 옮김","너머학교","2021","","9788994407876","74400","507.5","99",
"47","(에디슨이 포드에게 알려 준) 발명가의 비밀 ","수잔 슬레이드 글 ;이충호 옮김","위즈덤하우스","2015","","9788962476514","77400","507.5","85",
"48","(어린이를 위한) 4차 산업 혁명 안내서 ","정윤선 글 ;우연희 그림","다락원","2019","","9788927747451","73500","500","83",
"48","내가 집을 짓는다면 ","크리스 반 두센 글·그림 ;유사랑 옮김","김영사","2018","","9788934983491","74500","500","83",
"50","크로스 사이언스 =프랑켄슈타인에서 AI까지, 과학과 대중문화의 매혹적 만남 /Cross science ","홍성욱 지음","21세기북스(북이십일 21세기북스)","2019","","9788950979416","04300","500","81",
"51","레오나르도 다 빈치의 위대한 발명품 40 ","글: 다비드 모로시노토,옮김: 류젬마","삼성당","2019","","9788914020154","73880","507.5","77",
"51","로봇 박사 데니스 홍의 꿈 설계도 :로봇으로 세상을 바꾼 과학자의 꿈 일기 ","글: 데니스 홍 ;그림: 유준재","샘터사","2014","","9788946416475","73810","504","77",
"53","발명의 역사 :세상을 바꾼 놀라운 아이디어들 ","글: 팀 쿡 ;번역: 윤영","아이위즈","2021","","9791186316238","73500","507.5","75",
"54","(길 잃은 시간여행자를 위한) 문명 건설 가이드 :인간이 만들어낸 거의 모든 도구와 기계의 원리 ","라이언 노스 지음 ;조은영 옮김","웅진씽크빅","2019","","9788901238180","03500","509","72",
"55","발명가가 되는 법 :세종 대왕부터 일론 머스크까지 세상을 바꾼 발명가들을 만나다 ","로버트 윈스턴 지음 ;강창훈 옮김","책과함께","2021","","9791191432046","73500","507.5","67",
"56","우리 손으로 우리 집을 지어요 ","조너선 빈 글·그림 ;유사랑 옮김","김영사","2018","3","9788934983484","74500","500","63",
"57","그래서 이런 발명품이 생겼대요 :세상을 바꾼 놀라운 발명 이야기 ","글: 우리누리 ;그림: 이창우","길벗스쿨","2014","","9788962227253","73500","507.5","62",
"58","모든것은 상대적이야 ","줄리아 수이 글 ;위문숙 옮김","김영사","2019","","9788934999775","74500","500","55",
"59","기상천외 발명백과 :나는 발명한다, 고로 존재한다! ","마우고자타 미치엘스카 글 ;김영화 옮김","을파소","2017","","9788950971106","73500","507.5","52",
"59","놀라운 크로스 섹션 :37가지 사물이 만들어지는 놀라운 과정을 본다 ","리처드 플라트 글 ;권루시안 옮김","진선출판사","2016","","9788972219699","74400","500","52",
"59","도티&잠뜰 지식왕 :세상 모든 지식 사전 ","글: 전판교 ;그림: 최우빈","대원씨아이","2019","5","9791164126095","74540","507.5","52",
"62","모든것은 상대적이야 ","줄리아 수이 글 ;위문숙 옮김","김영사","2019","5","9788934999775","74500","500","50",
"62","공학은 세상을 어떻게 바꾸었을까? ","황진규 글 ;박연옥 그림","나무생각","2017","","9791186688847","73500","500","50",
"64","말괄량이 바람 소녀와 풍력 발전 ","키스 네글리 글·그림 ;위문숙 옮김","김영사","2020","","9788934991076","74500","500","47",
"65","지구를 구하는 발명책 :기발한 아이디어로 희망을 주는 착한 발명품 이야기 ","유다정 지음 ;김소희 그림","봄나무","2017","","9791156131137","73500","507.5","46",
"65","즐거운 종이 실험실 :집에서 만드는 종이 발명품 ","캐시 세서리 지음 ;이준성 옮김","꿈결","2019","","9791188260683","04400","507.5","46",
"67","Why? 표준 과학 ","글: 조영선 ;그림: 이영호","예림당","2019","69","9788930237697","74080","502","45",
"67","우주 로켓 이야기 :5 4 3 2 1 발사! ","닐 클라크 글·그림 ;위문숙 옮김","김영사","2020","","9788934999911","74500","500","45",
"69","Why? 발명·발견 ","글·그림: 김민재","예림당","2019","16","9788930237161","74080","507.5","44",
"69","우주 로켓 이야기 :5 4 3 2 1 발사! ","닐 클라크 글·그림 ;위문숙 옮김","김영사","2020","6","9788934999911","74500","500","44",
"71","오드리의 놀라운 발명 ","레이첼 발렌타인 글 ;신지호 옮김","김영사","2018","4","9788934983514","74500","500","42",
"72","공학의 눈으로 미래를 설계하라 :연세대 공대 교수 22명이 들려주는 세상을 바꾸는 미래 기술 ","연세대학교 공과대학,박희준 지음","해냄","2019","","9788965746799","03500","500","41",
"72","(우리 아이 창의력을 키워 주는 놀라운) 발명백과 ","정미금 지음 ;신혜영 그림","글송이","2017","","9791170183570","74400","507.5","41",
"74","(세상이 깜짝 놀란) 발명·발견 :유순혜 그림책 ","글 그림: 유순혜","위즈덤하우스","2016","","9788962477948","77030","507.5","39",
"75","발명·발견 꼬리잡기 101 ","글: 한태현 ;그림: 송영훈","북멘토","2019","","9788963193397","73500","507.5","37",
"76","지니어스! :세상을 발칵 뒤집은 천재 발명가들 이야기 ","데버라 케스퍼트 글 ;김은령 옮김","상상스쿨","2017","","9788993702965","73500","507","36",
"77","나는 특허로 평생 월급 받는다 :직접 출원에서 창업까지 특허 달인의 실전 가이드 ","지은이: 허주일","부키","2015","","9788960514744","13320","502.9","35",
"77","발명의 역사 :60개 플랩을 열면 <과학>, <사회> 지식이 쏙쏙! ","알렉스 프리스 글 ;배장열 옮김","비룡소인터내셔널","2020","","9791190183048","74370","507.5","35",
"79","너도 엔지니어가 되고 싶니? :세상을 이롭게 하는 공학의 세계 ","섀넌 헌트 글 ;한화택 옮김","토토북","2018","","9788964963616","73500","500","34",
"80","(어린이를 위한) 디지털 과학 용어 사전 ","글: 한세희 ;그림: 박선하","팜파스","2017","","9791170261735","73500","500","33",
"81","이상한 미래 연구소 :전 세계 '너드'들이 열광한 과학 블로거의 대담한 미래 예측 ","잭 와이너스미스,곽영직 옮김","시공사","2018","","9788952793430","03400","501","32",
"81","똥을 잘 누고 싶어","정종윤","","2014","6","9788963833293","74800","508","32",
"81","신기한 크로스 섹션 :지구의 신기한 사물과 장소를 본다 ","리처드 플라트 글 ;권루시안 옮김","진선출판사","2017","","9788972219767","74000","500","32",
"84","가정","박미정...[등]지음","대한교과서","2002","","9788937807558","73840","500","31",
"84","공학의 미래 ","김정호 지음","쌤앤파커스","2021","","9791165342968","03320","504","31",
"86","우리 손으로 우리 집을 지어요 ","조너선 빈 글·그림 ;유사랑 옮김","김영사","2018","","9788934983484","74500","500","30",
"86","눈이 좋은 눈뿅뿅","박영지","","2014","3","9788963833262","74800","508","30",
"86","'과알못'도 빠져드는 3시간 과학 ","사마키 다케오 편저 ;안소현 옮김","아름다운사람들","2021","","9788965136415","03400","500","30",
"89","Why? 표준 과학 ","글: 조영선 ;만화: 이영호","예림당","2016","","9788930219587","74400","502","29",
"90","(우리 아이 창의력을 키워 주는 놀라운) 발명백과 ","정미금 지음 ;신혜영 그림","글송이","2017","14","9791170183570","74400","507.5","28",
"91","(꼬리에 꼬리를 무는 지식 여행) 교통수단 :뜨거운 용암이 드론으로 이어지기까지 ","톰 잭슨 글 ;이섬민 옮김","다림","2018","1","9788961771610","74500","509","27",
"91","발명 공식을 알면 나도 생각 천재 ","박정욱,벼리 그림","위즈덤하우스","2013","","9788962473766","73400","507.5","27",
"91","30가지 발명품으로 읽는 세계사 :술, 바퀴, 시계에서 플라스틱, 반도체, 컴퓨터에 이르기까지 ","조 지무쇼 엮음 ;고원진 옮김","시그마북스","2017","","9788984458512","03900","509","27",
"91","발명으로 바다를 구할 테야! :미세 플라스틱 탐지 장치를 만든 열두 살 발명가 안나 두 ","글: 안나 두 ;옮김: 송미영","초록개구리","2021","","9791157821068","74840","507.5","27",
"91","도티&잠뜰 지식왕 :세상 모든 지식 사전 ","글: 전판교 ;그림: 최우빈","대원씨아이","2019","","9791164126095","74540","507.5","27",
"96","슝슝 콧구멍을 알려 줘","이재훈","","2014","7","9788963833309","74800","508","26",
"96","적정기술 :세상을 행복하게 하는 작은 노력 ","임정진 글 ;심성엽 그림","미래M&B","2014","","9788983947697","77610","500","26",
"96","여기 누가 살지?","조은수 글;이광익 그림","","","3","9791128212161","","508","26",
"96","혁신의 뿌리 :예술과 과학이 일으킨 혁신의 역사, 계몽주의에서 암흑물질까지 ","이안 블래치포드,안현주 옮김","로크미디어","2021","","9791135467936","03400","500","26",
"96","첨단기술의 과학 ","황정아,이성환 지음","반니","2021","","9791191214383","03400","500","26",
"101","신기한 비행기 이야기 :어떻게 날지? ","닐 클라크 글·그림 ;위문숙 옮김","김영사","2020","","9788934991892","74500","500","25",
"101","오늘날의 세상을 만든 6가지 놀라운 발견 :과학 영재라면 꼭 알아야 할 테크놀로지의 역사 ","스티븐 존슨 지음 ;강주헌 옮김","한경BP","2020","","9788947546324","73400","507.5","25",
"103","(에디슨이 포드에게 알려 준) 발명가의 비밀 ","수잔 슬레이드 글 ;이충호 옮김","위즈덤하우스","2015","8","9788962476514","77400","507.5","24",
"103","(발명왕들의 기발한) 발명 이야기 ","글·그림: 백명식","가문비","2018","","9788969021830","73400","507.5","24",
"103","나 잡아 봐라!","고지혜 글;안은진 그림","","","1","9791128212147","","508","24",
"103","어떻게 먹을까?","하늘땅 글;윤봉선 그림","","","4","9791128212178","","508","24",
